time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-08-12T00:00Z,145,144,318,325
2023-08-12T00:30Z,129,133,287,281
2023-08-12T01:00Z,123,124,307,323
2023-08-12T01:30Z,122,118,285,281
2023-08-12T02:00Z,118,108,331,325
2023-08-12T02:30Z,125,104,315,330
2023-08-12T03:00Z,117,106,282,294
2023-08-12T03:30Z,121,110,294,300
2023-08-12T04:00Z,121,100,322,326
2023-08-12T04:30Z,112,106,328,328
2023-08-12T05:00Z,110,103,338,326
2023-08-12T05:30Z,100,99,329,323
2023-08-12T06:00Z,97,96,265,271
2023-08-12T06:30Z,100,92,292,304
2023-08-12T07:00Z,115,86,287,276
2023-08-12T07:30Z,102,91,322,329
2023-08-12T08:00Z,86,86,290,287
2023-08-12T08:30Z,82,88,319,329
2023-08-12T09:00Z,75,78,291,303
2023-08-12T09:30Z,80,79,289,300
2023-08-12T10:00Z,73,69,334,326
2023-08-12T10:30Z,68,74,324,321
2023-08-12T11:00Z,66,64,295,298
2023-08-12T11:30Z,62,65,283,282
2023-08-12T12:00Z,62,63,276,277
2023-08-12T12:30Z,64,60,281,280
2023-08-12T13:00Z,63,58,302,298
2023-08-12T13:30Z,70,63,276,285
2023-08-12T14:00Z,72,57,273,281
2023-08-12T14:30Z,66,63,321,314
2023-08-12T15:00Z,73,63,328,317
2023-08-12T15:30Z,74,60,291,304
2023-08-12T16:00Z,78,66,313,315
2023-08-12T16:30Z,97,70,286,281
2023-08-12T17:00Z,109,75,307,321
2023-08-12T17:30Z,111,88,326,324
2023-08-12T18:00Z,112,98,305,320
2023-08-12T18:30Z,119,98,302,301
2023-08-12T19:00Z,121,103,275,275
2023-08-12T19:30Z,122,104,312,310
2023-08-12T20:00Z,117,105,271,281
2023-08-12T20:30Z,117,105,273,278
2023-08-12T21:00Z,110,102,289,289
2023-08-12T21:30Z,93,100,274,285
2023-08-12T22:00Z,89,101,277,286
2023-08-12T22:30Z,91,85,286,284
2023-08-12T23:00Z,87,81,302,315
2023-08-12T23:30Z,88,81,327,327
